system   D            wsystem.c:583  maybe_parent_dir                 [   0.00063] Also searching C:\Users\NEGU\Documents\ForbiddenDesert\TPFinal\
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.29077] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.29079] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.29080] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.29082] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.29084] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.29085] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.29121] added dtor for object 04560C68, func 00F2947C
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.30049] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.30053] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31058] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31061] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31063] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31065] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31066] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31068] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31070] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31071] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31073] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.31075] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.31076] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.31078] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.31080] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.31116] added dtor for object 045651F0, func 00F2947C
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.32670] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.32674] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33980] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33983] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33985] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33986] Fake format
